feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Gemella_unclassified	sex	M	2.72397796870781	0.784814805908479	48	6	0.0011936856539779	0.205313932484199
s__Neisseria_meningitidis	sex	M	1.33362494019927	0.440936307544423	48	8	0.00419001048878016	0.716491793581408
s__Rothia_aeria	fev1	Mo	0.792890943115001	0.533933319177279	48	6	0.144838565199441	1
s__Rothia_aeria	fev1	Se	0.609255505670605	0.436463826772843	48	6	0.169913673779285	1
s__Rothia_aeria	antibiotics	antibiotics	-0.214544049029403	0.189464643806928	48	6	0.263754067008933	1
s__Rothia_aeria	sex	M	0.39926697424409	0.385248798498629	48	6	0.305814788229187	1
s__Rothia_dentocariosa	fev1	Mo	-1.81238506485841	1.53730142934105	48	9	0.280296183085783	1
s__Rothia_dentocariosa	fev1	Se	-1.70617905087233	1.49915031734892	48	9	0.299848040034519	1
s__Rothia_dentocariosa	antibiotics	antibiotics	0.163332431798433	0.278800337856955	48	9	0.561083560598967	1
s__Rothia_dentocariosa	sex	M	2.38556490024667	1.30157653655626	48	9	0.116216128922717	1
s__Rothia_mucilaginosa	fev1	Mo	2.19941641336671	3.47775456865656	48	16	0.551610926102888	1
s__Rothia_mucilaginosa	fev1	Se	-1.37542575614177	3.22833644330536	48	16	0.690586707817368	1
s__Rothia_mucilaginosa	antibiotics	antibiotics	-0.29551582675312	0.972697331928481	48	16	0.76311002338733	1
s__Rothia_mucilaginosa	sex	M	4.3182932189139	2.8496889937879	48	16	0.194867246761565	1
s__Porphyromonas_sp_oral_taxon_279	fev1	Mo	0.624235476057061	0.410173847525981	48	7	0.135359690454104	1
s__Porphyromonas_sp_oral_taxon_279	fev1	Se	0.403886006328825	0.335296638556263	48	7	0.23496024184261	1
s__Porphyromonas_sp_oral_taxon_279	antibiotics	antibiotics	-0.166743559021198	0.145548964878561	48	7	0.258289109720877	1
s__Porphyromonas_sp_oral_taxon_279	sex	M	0.143338430668478	0.295952652249592	48	7	0.630610318951626	1
s__Prevotella_intermedia	fev1	Mo	-2.29982965320559	1.18112196065715	48	6	0.100038798585261	1
s__Prevotella_intermedia	fev1	Se	-2.22602684333785	1.12204857961835	48	6	0.10578171291193	1
s__Prevotella_intermedia	antibiotics	antibiotics	-0.192602076375942	0.28832904634106	48	6	0.507878392277053	1
s__Prevotella_intermedia	sex	M	-1.25201582208264	0.983556147202372	48	6	0.257193854101081	1
s__Prevotella_loescheii	fev1	Mo	0.171291085214828	0.922910119717138	48	5	0.856339539675304	1
s__Prevotella_loescheii	fev1	Se	1.02892359524473	0.775310240855818	48	5	0.23249689045309	1
