feature	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Porphyromonas_sp_oral_taxon_279	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_unclassified	s__Gemella_haemolysans	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_infantis	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Oribacterium_sinus	s__Peptostreptococcus_unclassified	s__Solobacterium_moorei	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_subflava	s__Neisseria_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Murine_osteosarcoma_virus
C01	0	0	0	0	0.0720875757337729	0	0	0	0	0	0.00660989960772155	0.0727791219017884	0	0	0.649691862966282	0	0	0.00195020805166985	0	0	0	0.158009300031888	0	0.0204063861120634	0	0	0	0	0	0	0.0113538626239948	0	0	0	0	0	0	0.00711178297081867	0	0	0	0	0
C02	0	0	0.0595396722182362	0	0	0	0	0	0	0	0	0.0987889854325113	0.0175721135331612	0.00537822428957441	0.222343067206101	0	0.00862947988284864	0.0437129633746913	0.000358328115086781	0.0115942381122171	0.0565241960528943	0.131658689993457	0.0373143649825442	0.0517636690440011	0	0	0	0	0.00397498874474642	0.00148969193335946	0.0385652108220752	0.00253790192637336	0.0188581080818087	0	0.0481398135443545	0.0705538386813431	0	0.0584152673725738	0	0	0.00634941378912166	0.00593777286691861	0
C03	0.00324917179669945	0.00826955187553076	0.0743689985536718	0.0332247680981328	0	0	0.156039581741268	0.0019662104916626	0	0.00134351332193802	0.012844442115732	0.0448816492293335	0.0330268000755294	0	0.00178826170729995	0.0136203729608799	0.000589826074835373	0.00556139381351165	0.0114582952308737	0.00547526165885834	0.0370725398333411	0.0611642101496055	0.0703819571795909	0.0334737728206958	0.0307256998577398	0.00154469430870357	0.00444896676015569	0.00156743220892769	0.00278452774864141	0.00973948297969308	0.094012319987504	0.00235732709062635	0.00122352146803793	0.012182447922794	0.00724078546593418	0.0383868893267308	0.000813621386280346	0.145941235379777	0.0372304693794629	0	0	0	0
C04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4248588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5147898	0	0	0	0.0477763	0.0125751	0
C05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9764316	0	0
C06	0	0	0.3667538	0	0	0	0	0	0	0	0	0	0	0	0.1984914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4347548	0	0
C07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871466497545821	0	0	0	0	0	0	0.0286090949320843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0330311448652764	0.0668932626568179	0
C08	0	0	0	0	0	0	0	0	0	0	0.0351691035169103	0.00329760032976003	0	0	0.931384893138489	0	0	0	0	0	0	0.00187270018727002	0	0	0	0	0	0	0	0	0	0.00168700016870002	0	0	0	0.0105249010524901	0	0	0	0	0.0160638016063802	0	0
C09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C10	0.014014193315566	0	0.0892787953927574	0.213473490766157	0	0	0.0292759751270762	0.026679612258957	0	0.003512292163351	0.0503685298783899	0.00458935061613708	0.0605614148231749	0	0.413140921802322	0.000650783887286414	0	0.00064229276480551	0	0.0202679050227517	0.00561849487778091	0.00864173882014842	0	0	0.00509487565812517	0.00421452820948004	0	0.000561323846862606	0	0.00432440737777459	0	0.013027807920701	0	0	0	0	0	0	0	0	0.0252481505273846	0.00681311494301092	0
