feature	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Porphyromonas_sp_oral_taxon_279	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_unclassified	s__Gemella_haemolysans	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_infantis	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Oribacterium_sinus	s__Peptostreptococcus_unclassified	s__Solobacterium_moorei	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_subflava	s__Neisseria_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Murine_osteosarcoma_virus
C01	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-3.79410555682482	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-7.24115592466016	-3.78033154496472	-9.13290464252153	-15.4365128966866	-0.62217245855282	-11.5855338476843	-13.2371506655201	-9.00215624319939	-13.9565107041177	-10.5980640953068	-11.4906825431208	-2.66191862056708	-12.2280108631336	-5.61483548020386	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-6.46067299882528	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-7.13557298632414	-11.0260140652705	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
C02	-9.26571225792489	-11.5150359207912	-4.07000491059761	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-3.33950599358959	-5.83056846397034	-7.53865436308659	-2.16914067361736	-11.5855338476843	-6.85651067694357	-4.51579500563295	-11.446431135038	-6.4304481699495	-4.14498762219201	-2.92512534679081	-4.74412505528798	-4.27191630961617	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-7.9748335092768	-9.39077027086518	-4.69655619216785	-8.62214796531309	-5.72867124323694	-11.5015440599114	-4.3766256358135	-3.82513161090856	-11.263354778187	-4.0975107096407	-11.0260140652705	-8.7949739199066	-7.29916088373267	-7.39586237659137	-9.57997508879244
C03	-8.26571225792489	-6.9179751323473	-3.7491548447014	-4.91159705994495	-11.868648492024	-12.9732405684172	-2.6800160585015	-8.99036650773318	-12.5340656685426	-9.53977365784124	-6.28271196005337	-4.47773049931678	-4.92021899425973	-15.4365128966866	-9.1272263981438	-6.19808998117915	-10.7274227775564	-7.49033778375688	-6.44746377438105	-7.51285637293145	-4.75350523244215	-4.03116847383948	-3.82865055670406	-4.90082502378299	-5.02441031767015	-9.33846292417182	-7.81231396500604	-9.3173812365048	-8.48835161507335	-6.68193909576624	-3.41100636042896	-8.72863233121428	-9.67474486934194	-6.3590521344259	-7.10963807819023	-4.70324253333371	-10.263354778187	-2.77654052367593	-4.74737238483551	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
C04	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-1.23494464748844	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-0.957944626478712	-11.4820071947109	-11.0260140652705	-8.7949739199066	-4.38756106009818	-6.31328631706556	-9.57997508879244
C05	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-5.4070023688369	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.0344091094512236	-11.6242916337969	-9.57997508879244
C06	-9.26571225792489	-11.5150359207912	-1.44711618089666	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-2.33285159354497	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-1.20172613889554	-11.6242916337969	-9.57997508879244
C07	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-0.19848289210101	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-5.12738233201742	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-4.92002921522145	-3.90199527668177	-9.57997508879244
C08	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-4.82954762956816	-8.24436773040277	-9.13290464252153	-15.4365128966866	-0.102550612740863	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-9.06066433700896	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-9.2113241667671	-11.6948109198981	-11.5015440599114	-14.0356274675088	-6.57004951959496	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-5.96004283305636	-11.6242916337969	-9.57997508879244
C09	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	0	-11.6242916337969	-9.57997508879244
C10	-6.15696748736844	-11.5150359207912	-3.48553862825076	-2.22787116843611	-11.868648492024	-12.9732405684172	-5.09413896481876	-5.22811849012422	-12.5340656685426	-8.15337142695106	-4.31133356654333	-7.76749425502249	-4.04545728011595	-15.4365128966866	-1.27529412799441	-10.5855338476843	-13.2371506655201	-10.6044813344485	-13.9565107041177	-5.62465921638611	-7.47560058182884	-6.85446265574447	-12.2280108631336	-7.59152305118976	-7.61673734722	-7.89041314529529	-13.8235310484595	-10.7988790285702	-14.8457694824721	-7.85328184710957	-14.0649076742347	-6.26226183556804	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-5.3076784780566	-7.19746973820539	-9.57997508879244
