feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Prevotella_intermedia	fev1	Se	-2.55454983008993	0.56932626084047	48	6	5.32416744693526e-05	0.00457878400436432
s__Prevotella_melaninogenica	sex	M	4.91363718368241	1.06325962913067	48	15	3.46234070967162e-05	0.00457878400436432
s__Rothia_dentocariosa	sex	M	2.21819544109067	0.526998481382091	48	9	0.0001281226064384	0.00734569610246828
s__Prevotella_veroralis	fev1	Se	-1.41051290698565	0.353240368313592	48	5	0.000250356779422082	0.0107653415151495
s__Prevotella_intermedia	fev1	Mo	-2.62748337105475	0.696466102111936	48	6	0.000489330941136539	0.0140274869792474
s__Gemella_haemolysans	sex	M	3.15470904870824	0.824778326397379	48	11	0.000417933925261334	0.0140274869792474
s__Gemella_unclassified	sex	M	2.72397796870784	0.784814805908478	48	6	0.00119368565395627	0.0293305617829254
s__Streptococcus_mitis_oralis_pneumoniae	sex	M	2.3091417275896	0.710663690724826	48	17	0.00224940929108174	0.0429887108962287
s__Streptococcus_parasanguinis	fev1	Se	-2.59604304217049	0.798956405704496	48	12	0.00224929825760016	0.0429887108962287
s__Granulicatella_unclassified	sex	M	2.09930942782512	0.660832286979124	48	11	0.00275584472109974	0.0474005292029155
s__Prevotella_veroralis	fev1	Mo	-1.33699223784025	0.432124704848086	48	5	0.00346523843229172	0.054183728214016
s__Streptococcus_salivarius	sex	M	0.803812685083722	0.265891700700667	48	9	0.00420651854667564	0.0556554761560162
s__Neisseria_meningitidis	sex	M	1.3336249401993	0.440936307544423	48	8	0.00419001048877724	0.0556554761560162
s__Haemophilus_influenzae	fev1	Se	-3.4596127183776	1.15579917975887	48	11	0.00456068634493819	0.0560312893806692
s__Prevotella_veroralis	sex	M	-0.910453919317007	0.311790849840232	48	5	0.00555190805854604	0.0636618790713279
s__Streptococcus_anginosus	sex	M	1.86960406405216	0.648836989582007	48	5	0.00615264348944429	0.0661409175115261
s__Streptococcus_infantis	sex	M	1.99050565883904	0.71104354135698	48	12	0.00763580537848657	0.0747856545729949
s__Veillonella_unclassified	sex	M	2.67758653888654	0.96692104130246	48	13	0.00826120602841223	0.0747856545729949
s__Haemophilus_influenzae	fev1	Mo	-3.91949896484152	1.41390799075821	48	11	0.00819889014093495	0.0747856545729949
s__Haemophilus_influenzae	sex	M	-2.69734131522931	1.0201767431681	48	11	0.0113898236667182	0.0946888084580363
