feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Prevotella_intermedia	fev1	Se	-2.55454983008993	0.56932626084047	48	6	5.32416744693526e-05	0.00457878400436432
s__Prevotella_melaninogenica	sex	M	4.91363718368241	1.06325962913067	48	15	3.46234070967162e-05	0.00457878400436432
s__Rothia_dentocariosa	sex	M	2.21819544109067	0.526998481382091	48	9	0.0001281226064384	0.00734569610246828
s__Prevotella_veroralis	fev1	Se	-1.41051290698565	0.353240368313592	48	5	0.000250356779422082	0.0107653415151495
s__Prevotella_intermedia	fev1	Mo	-2.62748337105475	0.696466102111936	48	6	0.000489330941136539	0.0140274869792474
s__Gemella_haemolysans	sex	M	3.15470904870824	0.824778326397379	48	11	0.000417933925261334	0.0140274869792474
s__Gemella_unclassified	sex	M	2.72397796870784	0.784814805908478	48	6	0.00119368565395627	0.0293305617829254
s__Streptococcus_mitis_oralis_pneumoniae	sex	M	2.3091417275896	0.710663690724826	48	17	0.00224940929108174	0.0429887108962287
s__Streptococcus_parasanguinis	fev1	Se	-2.59604304217049	0.798956405704496	48	12	0.00224929825760016	0.0429887108962287
s__Granulicatella_unclassified	sex	M	2.09930942782512	0.660832286979124	48	11	0.00275584472109974	0.0474005292029155
s__Prevotella_veroralis	fev1	Mo	-1.33699223784025	0.432124704848086	48	5	0.00346523843229172	0.054183728214016
s__Streptococcus_salivarius	sex	M	0.803812685083722	0.265891700700667	48	9	0.00420651854667564	0.0556554761560162
s__Neisseria_meningitidis	sex	M	1.3336249401993	0.440936307544423	48	8	0.00419001048877724	0.0556554761560162
s__Haemophilus_influenzae	fev1	Se	-3.4596127183776	1.15579917975887	48	11	0.00456068634493819	0.0560312893806692
s__Prevotella_veroralis	sex	M	-0.910453919317007	0.311790849840232	48	5	0.00555190805854604	0.0636618790713279
s__Streptococcus_anginosus	sex	M	1.86960406405216	0.648836989582007	48	5	0.00615264348944429	0.0661409175115261
s__Streptococcus_infantis	sex	M	1.99050565883904	0.71104354135698	48	12	0.00763580537848657	0.0747856545729949
s__Veillonella_unclassified	sex	M	2.67758653888654	0.96692104130246	48	13	0.00826120602841223	0.0747856545729949
s__Haemophilus_influenzae	fev1	Mo	-3.91949896484152	1.41390799075821	48	11	0.00819889014093495	0.0747856545729949
s__Haemophilus_influenzae	sex	M	-2.69734131522931	1.0201767431681	48	11	0.0113898236667182	0.0946888084580363
s__Haemophilus_parainfluenzae	sex	M	2.15201909002556	0.815743702015013	48	12	0.0115608428931323	0.0946888084580363
s__Solobacterium_moorei	fev1	Se	-1.816470260279	0.693588331876341	48	9	0.012133914511044	0.0948651498136167
s__Pseudomonas_aeruginosa	fev1	Mo	2.91258605703633	1.12691918408965	48	12	0.013228198701235	0.0989239207222795
s__Stenotrophomonas_maltophilia	sex	M	-2.30576869779077	0.923659869305089	48	20	0.0164603469593956	0.117965819875668
s__Pseudomonas_aeruginosa	antibiotics	antibiotics	0.973687304466857	0.39988390711734	48	12	0.019118061857974	0.131532265582861
s__Rothia_dentocariosa	fev1	Se	-1.35575066185725	0.597057732000488	48	9	0.0282302035325545	0.186753654138437
s__Staphylococcus_aureus	sex	M	-4.76449194627715	2.11576797160985	48	38	0.0294907015210731	0.187866691171281
s__Capnocytophaga_gingivalis	sex	M	0.661255296253271	0.303181680433488	48	6	0.034695564336479	0.21281779729188
s__Stenotrophomonas_maltophilia	fev1	Mo	-2.7730817538294	1.28014099390027	48	20	0.0358820704736309	0.21281779729188
s__Neisseria_subflava	sex	M	1.3616790201861	0.636467171934381	48	6	0.0381185084816322	0.218546115294691
s__Neisseria_unclassified	sex	M	1.81931581971355	0.864514409522847	48	13	0.0412232956298561	0.228722801559202
s__Staphylococcus_aureus	fev1	Se	-4.8924414872322	2.39703845683905	48	38	0.0474155150908793	0.247135411988826
s__Abiotrophia_defectiva	fev1	Mo	1.30295139808077	0.635198661955143	48	6	0.0463662002276795	0.247135411988826
s__Prevotella_intermedia	sex	M	-1.01683781059957	0.502521044101689	48	6	0.0492680868052721	0.249238556779612
