	C10_S10_bmtagger_1	C11_S11_bmtagger_1	D01_S13_bmtagger_1	D03_S15_bmtagger_1	D04_S16_bmtagger_1	D05_S17_bmtagger_1	D06_S18_bmtagger_1	D07_S19_bmtagger_1	F11_S47_bmtagger_1	GCF_000072485.1_ASM7248v1_genomic	GCF_002208885.1_ASM220888v1_genomic	GCF_900186865.1_49243_F02_genomic
g000016	0	0	0	0	0	0	0	0	0	0	0	1
g000119	1	0	1	1	1	1	1	1	1	1	1	1
g000217	0	0	0	0	0	0	0	0	0	0	1	0
g000228	0	1	1	1	1	0	1	1	1	0	0	1
g000252	1	1	1	1	1	1	1	1	1	1	1	1
g000255	1	1	1	1	1	1	1	1	1	1	1	1
g000285	1	1	0	1	1	1	1	0	1	0	1	1
g000288	1	1	0	0	0	0	0	0	0	1	0	0
g000390	1	1	1	1	1	1	1	1	1	1	1	1
g000454	1	1	1	1	1	1	1	1	1	1	1	1
g000487	1	1	1	1	1	1	1	1	1	1	1	0
g000521	1	0	0	1	0	0	0	0	1	0	0	1
g000543	0	1	0	0	0	0	0	0	1	0	1	0
g000546	1	1	1	1	1	1	1	1	1	1	1	1
g000547	0	1	1	1	1	1	1	1	0	1	1	0
g000593	1	1	1	1	1	1	1	1	1	1	1	1
g000603	0	1	1	1	1	1	1	1	1	1	1	0
g000638	1	1	1	1	1	1	1	1	0	1	1	1
g000639	1	1	1	1	1	1	1	0	1	1	1	1
g000641	1	1	1	1	1	1	1	1	1	1	1	1
g000642	1	1	1	1	1	1	1	1	1	1	1	1
g000661	1	1	1	1	1	1	1	1	1	1	1	0
g000674	1	1	0	1	0	0	1	0	1	1	1	1
g000678	0	0	1	1	0	1	0	1	0	0	0	1
g000679	0	0	1	1	1	1	1	1	0	1	1	1
g000685	1	1	1	1	1	0	1	1	1	1	1	1
g000894	1	1	1	1	1	1	1	1	0	0	1	0
g000895	1	1	1	1	1	1	1	1	1	1	1	1
g000918	0	0	0	0	0	0	0	0	0	0	0	1
g000919	0	0	0	0	0	0	0	0	0	1	0	0
g000995	0	0	1	1	1	1	0	1	0	0	1	0
g001053	0	1	1	1	1	1	1	1	1	1	1	1
g001076	1	1	1	1	1	1	1	1	1	1	1	1
g001102	1	1	1	1	1	1	1	1	1	1	1	0
g001151	1	1	1	1	1	1	1	1	1	1	1	1
g001191	1	1	0	0	0	0	0	1	0	0	1	1
g001203	0	0	0	0	0	0	0	0	0	0	0	1
g001208	0	0	0	0	0	1	0	0	1	1	1	0
g001209	1	1	1	1	1	1	0	1	1	1	1	0
g001219	1	1	1	1	1	1	1	1	1	1	1	1
g001258	1	1	1	1	1	1	1	1	1	1	1	1
g001261	1	1	1	1	1	1	1	1	1	1	0	1
g001262	1	1	1	1	1	1	1	1	1	1	1	1
g001288	1	1	1	1	1	1	1	1	1	1	1	1
g001311	1	0	1	1	1	0	1	0	0	0	1	1
g001444	0	0	0	0	0	0	0	0	0	1	0	0
g001451	1	1	1	1	1	1	1	1	1	1	1	1
g001795	0	0	0	0	0	0	0	0	0	1	1	1
g001829	0	0	0	0	0	0	0	0	0	0	1	0
g001834	0	0	0	0	0	0	0	0	1	1	0	1
g001836	1	1	1	1	1	1	1	1	1	1	1	1
g001859	0	1	0	1	1	0	1	0	1	1	0	1
g001907	1	1	1	1	1	1	1	1	1	1	1	1
g002071	1	1	1	1	1	1	1	1	1	1	1	1
g002084	1	1	1	1	1	1	1	1	1	1	1	1
g002138	1	1	1	1	1	1	1	0	1	1	1	1
g002228	1	1	1	1	1	1	1	1	1	1	1	1
g002242	1	1	1	1	1	1	1	1	1	1	1	1
g002264	1	1	1	1	1	1	1	1	1	1	1	1
g002270	1	1	1	1	1	1	1	1	1	1	1	1
g002293	0	0	1	1	1	1	1	1	1	1	1	0
g002302	1	1	1	1	0	1	1	1	1	1	1	1
g002304	0	1	1	1	1	0	1	1	1	1	1	1
g002337	1	1	1	1	1	1	1	1	1	1	1	1
g002340	1	1	1	1	1	1	1	1	1	1	0	1
g002458	1	1	1	1	1	1	1	1	1	1	1	1
g002544	0	1	1	1	1	1	1	1	1	1	0	0
g002649	1	0	0	0	0	0	0	0	1	0	0	1
g002670	1	1	1	1	1	1	1	1	1	1	1	1
g002701	1	1	0	0	0	0	0	0	1	0	1	1
g002730	1	1	1	1	1	1	1	1	1	1	1	1
g002731	1	1	1	1	1	1	1	1	1	1	1	1
g002753	0	1	1	1	1	1	1	1	1	1	1	1
g002816	1	1	1	1	1	1	1	1	1	1	1	1
g003020	1	1	1	1	1	1	1	0	1	1	1	1
g003039	0	0	1	1	1	1	1	1	0	1	0	0
g003096	1	1	1	1	1	1	1	1	1	0	1	1
g003099	1	1	0	0	0	0	0	0	1	0	0	1
g003144	1	1	1	1	1	1	1	1	1	1	1	1
g003159	0	1	1	1	1	1	1	1	1	1	1	1
g003169	1	0	1	1	1	1	1	1	0	0	0	1
g003180	1	1	1	1	1	1	1	1	1	1	1	1
g003181	1	1	1	1	1	1	1	1	1	1	1	1
g003204	1	1	1	1	1	1	1	0	1	1	0	1
g003238	1	1	1	1	1	1	1	1	1	1	1	1
g003284	1	1	1	1	1	1	1	1	1	1	1	1
g003292	1	1	1	1	1	1	1	1	1	1	1	1
g003293	1	1	1	1	1	1	1	1	1	1	1	1
g003294	1	1	0	0	0	0	0	1	1	1	0	0
g003295	1	1	1	1	1	1	1	1	1	1	1	1
g003296	0	1	0	1	1	1	1	1	1	1	1	0
g003297	0	0	0	0	0	0	0	0	0	1	0	0
g003298	0	0	0	0	0	0	0	0	0	1	0	0
g003299	0	0	0	0	0	0	0	0	0	1	0	0
g003300	0	0	0	0	0	0	0	0	0	1	0	0
g003301	0	0	0	0	0	0	0	0	0	1	1	0
g003302	0	0	0	0	0	0	0	0	0	1	0	0
g003303	0	0	0	0	0	0	0	0	0	1	0	0
g003304	0	0	0	0	0	0	0	0	0	1	0	0
g003305	0	0	0	0	0	0	0	0	0	1	0	0
g003306	0	0	0	0	0	0	0	0	0	1	0	0
g003307	0	0	0	0	0	0	0	0	0	1	0	0
g003308	0	0	0	0	0	0	0	0	0	1	0	0
g003309	0	0	0	0	0	0	0	0	0	1	0	0
g003310	0	0	0	0	0	0	0	0	0	1	0	0
g003311	0	0	0	0	0	0	0	0	0	1	0	0
g003312	0	0	1	1	1	1	1	1	0	1	0	0
g003313	0	0	1	1	1	1	1	1	0	1	0	0
g003314	0	0	1	1	1	1	1	1	0	1	0	0
g003315	0	0	1	1	1	1	1	1	0	1	0	0
g003316	1	0	0	0	0	0	0	0	0	1	0	0
g003317	1	1	1	1	1	1	1	1	1	1	1	1
g003318	0	1	1	1	1	1	1	1	0	1	0	1
g003319	0	0	0	0	0	0	0	0	0	1	0	1
g003320	0	0	0	0	0	0	0	0	0	1	0	1
g003321	0	0	0	0	0	0	0	0	0	1	0	1
g003322	0	0	0	0	0	0	0	0	0	1	0	1
g003323	0	0	0	0	0	0	0	0	0	1	0	1
g003324	0	0	0	0	0	0	0	0	0	1	0	1
g003325	0	0	0	0	0	0	0	0	0	1	0	1
g003326	0	1	0	1	0	1	1	1	0	1	0	1
g003327	1	1	1	1	1	1	1	1	1	1	0	1
g003328	0	0	0	0	0	0	0	0	0	1	1	0
g003329	0	0	0	0	1	0	0	0	0	1	0	0
g003330	1	1	0	0	0	0	0	0	1	1	1	0
g003331	1	1	1	1	0	1	1	1	1	1	0	0
g003332	1	1	1	1	0	1	1	0	1	1	0	0
g003333	1	1	1	1	1	1	1	1	1	1	1	0
g003334	0	1	1	1	1	1	1	1	1	1	1	0
g003335	1	1	1	1	1	1	1	1	1	1	1	0
g003336	1	1	1	1	1	1	1	1	1	1	1	1
g003337	1	1	1	1	1	1	1	1	1	1	1	1
g003338	1	1	1	1	1	1	1	1	1	1	1	1
g003339	0	0	1	1	1	1	1	1	0	1	0	1
g003340	1	1	1	1	1	1	1	1	1	1	0	1
g003341	1	1	1	1	1	1	1	1	1	1	1	1
