	C03_S3_bmtagger_1	C04_S4_bmtagger_1	D11_S23_bmtagger_1	E04_S28_bmtagger_1	E11_S35_bmtagger_1	F06_S42_bmtagger_1	F07_S43_bmtagger_1	F09_S45_bmtagger_1	F10_S46_bmtagger_1	GCF_000012185.1_ASM1218v1_genomic	GCF_000027305.1_ASM2730v1_genomic	GCF_000165525.1_ASM16552v1_genomic	GCF_000165575.1_ASM16557v1_genomic	GCF_000169835.1_ASM16983v1_genomic	GCF_000173315.1_ASM17331v1_genomic	GCF_000173335.1_ASM17333v1_genomic	GCF_000175435.1_ASM17543v1_genomic	GCF_000175455.1_ASM17545v1_genomic	GCF_000197875.1_ASM19787v1_genomic	GCF_000200475.1_ASM20047v1_genomic	GCF_000210875.1_ASM21087v1_genomic	GCF_000465255.1_ASM46525v1_genomic	GCF_000636035.1_NTHi584v1_genomic	GCF_000636055.1_NTHi411v1_genomic	GCF_000636075.1_NTHi1104v1_genomic	GCF_000698365.1_ASM69836v1_genomic	GCF_000767075.1_ASM76707v1_genomic	GCF_000818925.1_ASM81892v1_genomic	GCF_000833735.1_ASM83373v1_genomic	GCF_000833755.1_ASM83375v1_genomic	GCF_000833815.1_ASM83381v1_genomic	GCF_000833835.1_ASM83383v1_genomic	GCF_000833895.1_ASM83389v1_genomic	GCF_000833915.1_ASM83391v1_genomic	GCF_000833935.1_ASM83393v1_genomic	GCF_000931575.1_ASM93157v1_genomic	GCF_001052725.1_ASM105272v1_genomic	GCF_001053795.1_ASM105379v1_genomic	GCF_001053885.1_ASM105388v1_genomic	GCF_001055275.1_ASM105527v1_genomic	GCF_001055485.1_ASM105548v1_genomic	GCF_001055565.1_ASM105556v1_genomic	GCF_001055615.1_ASM105561v1_genomic	GCF_001076115.1_ASM107611v1_genomic	GCF_001076835.1_ASM107683v1_genomic	GCF_001184435.1_ASM118443v1_genomic	GCF_001184485.1_ASM118448v1_genomic	GCF_001184515.1_ASM118451v1_genomic	GCF_001184535.1_ASM118453v1_genomic	GCF_001184545.1_ASM118454v1_genomic	GCF_001184555.1_ASM118455v1_genomic	GCF_001184595.1_ASM118459v1_genomic	GCF_001184615.1_ASM118461v1_genomic	GCF_001184695.1_ASM118469v1_genomic	GCF_001184705.1_ASM118470v1_genomic	GCF_001276545.1_ASM127654v1_genomic	GCF_001298185.1_ASM129818v1_genomic	GCF_001298195.1_ASM129819v1_genomic
g000001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000003	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000004	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000005	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000006	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000007	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000009	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000010	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000011	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0
g000012	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000014	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000015	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000016	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000017	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
g000018	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0
